objet,acheteur_nom,titulaire_nom,montant_rationalise,montant_anomalie,dateNotification
"2025-0785 - FOURNITURE DE DISPOSITIFS MEDICAUX PROTHETIQUES IMPLANTABLES : FAMILLES ENDOSCOPIE DIGESTIVE, CHIRURGIE PLASTIQUE ET REPARATRICE, ORL, PNEUMOLOGIE, UROLOGIE, GYNECOLOGIE - FAMDIVAO2 (2025-2029)",CENTRE HOSPITALIER REGIONAL DE MARSEILLE (ASSISTANCE PUBLIQUE-HOPITAUX MARSEILLE),BOSTON SCIENTIFIC,53835.0,,2026-07-28
"2025-0785 - FOURNITURE DE DISPOSITIFS MEDICAUX PROTHETIQUES IMPLANTABLES : FAMILLES ENDOSCOPIE DIGESTIVE, CHIRURGIE PLASTIQUE ET REPARATRICE, ORL, PNEUMOLOGIE, UROLOGIE, GYNECOLOGIE - FAMDIVAO2 (2025-2029)",CENTRE HOSPITALIER REGIONAL DE MARSEILLE (ASSISTANCE PUBLIQUE-HOPITAUX MARSEILLE),MEDTRONIC FRANCE,12600.0,,2026-07-28
FOURNITURE D’IMPLANTS D’ORTHOPÉDIE - ORTHOCAT - OSTÉOSYNTHÈSE: PLAQUE ET VIS,CENTRE HOSPITALIER UNIVERSITAIRE REIMS,STRYKER FRANCE SA,1171594.1,,2026-07-23
"Fourniture de dispositifs médicaux non implantables de Dialyse, Cathétérisme central et périphérique (MIDLINE), Système cardiovasculaire, Kits de surveillance de pression, Consommables haute pression pour injecteur, Système nerveux et Ophtalmologie - Lot 1 à 100 - Lot 57 : Cathéter ballonnet angioplastie coronaire, monorail, semi-compliant",RESEAU DES ACHETEURS HOSPITALIERS,ABBOTT MEDICAL FRANCE SAS,16296680.0,,2026-07-21
"Fourniture de dispositifs médicaux non implantables de Dialyse, Cathétérisme central et périphérique (MIDLINE), Système cardiovasculaire, Kits de surveillance de pression, Consommables haute pression pour injecteur, Système nerveux et Ophtalmologie - Lot 1 à 100 - Lot 48 : Système fermeture point de ponction artérielle chirurgical",RESEAU DES ACHETEURS HOSPITALIERS,ABBOTT MEDICAL FRANCE SAS,19044000.0,,2026-07-21
"Fourniture de dispositifs médicaux non implantables de Dialyse, Cathétérisme central et périphérique (MIDLINE), Système cardiovasculaire, Kits de surveillance de pression, Consommables haute pression pour injecteur, Système nerveux et Ophtalmologie - Lot 1 à 100 - Lot 55 : Cathéter ballonnet angioplastie coronaire, monorail, non compliant, revêtement hydrophile",RESEAU DES ACHETEURS HOSPITALIERS,ABBOTT MEDICAL FRANCE SAS,8659800.0,,2026-07-21
"Fourniture de dispositifs médicaux non implantables de Dialyse, Cathétérisme central et périphérique (MIDLINE), Système cardiovasculaire, Kits de surveillance de pression, Consommables haute pression pour injecteur, Système nerveux et Ophtalmologie - Lot 1 à 100 - Lot 22 : Concentré acide, vrac",RESEAU DES ACHETEURS HOSPITALIERS,MEDTRONIC FRANCE,2340780.0,,2026-07-21
"Fourniture de dispositifs médicaux non implantables de Dialyse, Cathétérisme central et périphérique (MIDLINE), Système cardiovasculaire, Kits de surveillance de pression, Consommables haute pression pour injecteur, Système nerveux et Ophtalmologie - Lots 101 à 177 - Lot 114: Sonde transoesophagienne procédure électrophysiologie",RESEAU DES ACHETEURS HOSPITALIERS,ABBOTT MEDICAL FRANCE SAS,8013200.0,,2026-07-21
"Fourniture de dispositifs médicaux non implantables de Dialyse, Cathétérisme central et périphérique (MIDLINE), Système cardiovasculaire, Kits de surveillance de pression, Consommables haute pression pour injecteur, Système nerveux et Ophtalmologie - Lot 1 à 100 - Lot 98 : Guide vasculaire périphérique 0.014"" à 0.018"" , recanalisation",RESEAU DES ACHETEURS HOSPITALIERS,ABBOTT MEDICAL FRANCE SAS,3474000.0,,2026-07-21
"Fourniture de dispositifs médicaux non implantables de Dialyse, Cathétérisme central et périphérique (MIDLINE), Système cardiovasculaire, Kits de surveillance de pression, Consommables haute pression pour injecteur, Système nerveux et Ophtalmologie - Lots 101 à 177 - Lot 105: Cathéter électrophysiologie conventionnelle, diagnostic, courbure fixe, PEBAX, 4 pôles",RESEAU DES ACHETEURS HOSPITALIERS,BIOTRONIK FRANCE,2372480.0,,2026-07-21
"Fourniture de dispositifs médicaux non implantables de Dialyse, Cathétérisme central et périphérique (MIDLINE), Système cardiovasculaire, Kits de surveillance de pression, Consommables haute pression pour injecteur, Système nerveux et Ophtalmologie - Lots 101 à 177 - Lot 113: Cathéter électrophysiologie ablation RF, irriguée, mesure de la force de contact",RESEAU DES ACHETEURS HOSPITALIERS,ABBOTT MEDICAL FRANCE SAS,14605200.0,,2026-07-21
"Fourniture de dispositifs médicaux non implantables de Dialyse, Cathétérisme central et périphérique (MIDLINE), Système cardiovasculaire, Kits de surveillance de pression, Consommables haute pression pour injecteur, Système nerveux et Ophtalmologie - Lots 101 à 177 - Lot 111: Cathéter électrophysiologie ablation RF, courbure bidirectionnelle",RESEAU DES ACHETEURS HOSPITALIERS,BOSTON SCIENTIFIC,9188176.0,,2026-07-21
"Fourniture de dispositifs médicaux non implantables de Dialyse, Cathétérisme central et périphérique (MIDLINE), Système cardiovasculaire, Kits de surveillance de pression, Consommables haute pression pour injecteur, Système nerveux et Ophtalmologie - Lots 101 à 177 - Lot 106: Cathéter électrophysiologie conventionnelle, diagnostic, courbure fixe, PUR, 4 et 10 pôles",RESEAU DES ACHETEURS HOSPITALIERS,BOSTON SCIENTIFIC,2708800.0,,2026-07-21
"Fourniture de dispositifs médicaux non implantables de Dialyse, Cathétérisme central et périphérique (MIDLINE), Système cardiovasculaire, Kits de surveillance de pression, Consommables haute pression pour injecteur, Système nerveux et Ophtalmologie - Lots 101 à 177 - Lot 107: Cathéter électrophysiologie conventionnelle, diagnostic, courbure orientable, PEBAX, 4 et 10 pôles",RESEAU DES ACHETEURS HOSPITALIERS,ABBOTT MEDICAL FRANCE SAS,12899200.0,,2026-07-21
"Fourniture de dispositifs médicaux non implantables de Dialyse, Cathétérisme central et périphérique (MIDLINE), Système cardiovasculaire, Kits de surveillance de pression, Consommables haute pression pour injecteur, Système nerveux et Ophtalmologie - Lots 101 à 177 - Lot 115: Gaine et Aiguille trans-septale",RESEAU DES ACHETEURS HOSPITALIERS,ABBOTT MEDICAL FRANCE SAS,20502000.0,,2026-07-21
"Fourniture de dispositifs médicaux non implantables de Dialyse, Cathétérisme central et périphérique (MIDLINE), Système cardiovasculaire, Kits de surveillance de pression, Consommables haute pression pour injecteur, Système nerveux et Ophtalmologie - Lot 1 à 100 - Lot 91 : Cathéter ballonnet angioplastie périphérique semi-compliant, recanalisation sous-poplitée",RESEAU DES ACHETEURS HOSPITALIERS,MEDTRONIC FRANCE,2490400.0,,2026-07-21
"Fourniture de dispositifs médicaux non implantables de Dialyse, Cathétérisme central et périphérique (MIDLINE), Système cardiovasculaire, Kits de surveillance de pression, Consommables haute pression pour injecteur, Système nerveux et Ophtalmologie - Lots 101 à 177 - Lot 110: Cathéter électrophysiologie ablation RF, courbure unidirectionnelle",RESEAU DES ACHETEURS HOSPITALIERS,ABBOTT MEDICAL FRANCE SAS,6356000.0,,2026-07-21
"Fourniture de dispositifs médicaux non implantables de Dialyse, Cathétérisme central et périphérique (MIDLINE), Système cardiovasculaire, Kits de surveillance de pression, Consommables haute pression pour injecteur, Système nerveux et Ophtalmologie - Lot 1 à 100 - Lot 64 : Cathéter Imagerie endocoronaire, Console tomographie cohérence optique OCT",RESEAU DES ACHETEURS HOSPITALIERS,ABBOTT MEDICAL FRANCE SAS,26931840.0,,2026-07-21
"Fourniture de dispositifs médicaux non implantables de Dialyse, Cathétérisme central et périphérique (MIDLINE), Système cardiovasculaire, Kits de surveillance de pression, Consommables haute pression pour injecteur, Système nerveux et Ophtalmologie - Lots 101 à 177 - Lot 104: Sonde-électrode stimulation temporaire bipolaire implantation percutanée",RESEAU DES ACHETEURS HOSPITALIERS,ABBOTT MEDICAL FRANCE SAS,914640.0,,2026-07-21
"Fourniture de dispositifs médicaux non implantables de Dialyse, Cathétérisme central et périphérique (MIDLINE), Système cardiovasculaire, Kits de surveillance de pression, Consommables haute pression pour injecteur, Système nerveux et Ophtalmologie - Lot 1 à 100 - Lot 54 : Cathéter ballonnet angioplastie coronaire, monorail, non compliant",RESEAU DES ACHETEURS HOSPITALIERS,ABBOTT MEDICAL FRANCE SAS,13516880.0,,2026-07-21
DMNI1026 DM non implantables 2025-R077 LOTS 35_36_48_54_55_57_64_77_90_98_104,RESEAU DES ACHETEURS HOSPITALIERS,ABBOTT MEDICAL FRANCE SAS,200000.0,,2026-07-21
"Fourniture de dispositifs médicaux non implantables de Dialyse, Cathétérisme central et périphérique (MIDLINE), Système cardiovasculaire, Kits de surveillance de pression, Consommables haute pression pour injecteur, Système nerveux et Ophtalmologie - Lot 1 à 100 - Lot 61 : Cathéter guide angioplastie coronaire, revêtement interne silicone 5 à 8Fr",RESEAU DES ACHETEURS HOSPITALIERS,MEDTRONIC FRANCE,25140752.0,,2026-07-21
"Fourniture de dispositifs médicaux non implantables de Dialyse, Cathétérisme central et périphérique (MIDLINE), Système cardiovasculaire, Kits de surveillance de pression, Consommables haute pression pour injecteur, Système nerveux et Ophtalmologie - Lot 1 à 100 - Lot 62 : Extension de cathéter guide flexible",RESEAU DES ACHETEURS HOSPITALIERS,BOSTON SCIENTIFIC,7249600.0,,2026-07-21
"Fourniture de dispositifs médicaux non implantables de Dialyse, Cathétérisme central et périphérique (MIDLINE), Système cardiovasculaire, Kits de surveillance de pression, Consommables haute pression pour injecteur, Système nerveux et Ophtalmologie - Lot 1 à 100 - Lot 63 : Cathéter Echographie endocoronaire, Console-Module IVUS (intravascular ultrasound)",RESEAU DES ACHETEURS HOSPITALIERS,BOSTON SCIENTIFIC,11436400.0,,2026-07-21
"Fourniture de dispositifs médicaux non implantables de Dialyse, Cathétérisme central et périphérique (MIDLINE), Système cardiovasculaire, Kits de surveillance de pression, Consommables haute pression pour injecteur, Système nerveux et Ophtalmologie - Lot 1 à 100 - Lot 77 : Guide mesure Fraction Flux de Réserve coronaire (FFR)",RESEAU DES ACHETEURS HOSPITALIERS,ABBOTT MEDICAL FRANCE SAS,29274000.0,,2026-07-21
"Fourniture de dispositifs médicaux non implantables de Dialyse, Cathétérisme central et périphérique (MIDLINE), Système cardiovasculaire, Kits de surveillance de pression, Consommables haute pression pour injecteur, Système nerveux et Ophtalmologie - Lot 1 à 100 - Lot 80 : Système protection distale capture d’embol",RESEAU DES ACHETEURS HOSPITALIERS,MEDTRONIC FRANCE,2960000.0,,2026-07-21
"Fourniture de dispositifs médicaux non implantables de Dialyse, Cathétérisme central et périphérique (MIDLINE), Système cardiovasculaire, Kits de surveillance de pression, Consommables haute pression pour injecteur, Système nerveux et Ophtalmologie - Lot 1 à 100 - Lot 35 : Valve hémostatique mixte à vis et à poussoir",RESEAU DES ACHETEURS HOSPITALIERS,ABBOTT MEDICAL FRANCE SAS,612800.0,,2026-07-21
"Fourniture de dispositifs médicaux non implantables de Dialyse, Cathétérisme central et périphérique (MIDLINE), Système cardiovasculaire, Kits de surveillance de pression, Consommables haute pression pour injecteur, Système nerveux et Ophtalmologie - Lot 1 à 100 - Lot 82 : Cathéter ballonnet modelage endoprothèse aortique",RESEAU DES ACHETEURS HOSPITALIERS,MEDTRONIC FRANCE,1736000.0,,2026-07-21
"Fourniture de dispositifs médicaux non implantables de Dialyse, Cathétérisme central et périphérique (MIDLINE), Système cardiovasculaire, Kits de surveillance de pression, Consommables haute pression pour injecteur, Système nerveux et Ophtalmologie - Lot 1 à 100 - Lot 36 : Kit inflation (seringue inflation, tubulure, valve, torquer..)",RESEAU DES ACHETEURS HOSPITALIERS,ABBOTT MEDICAL FRANCE SAS,31315720.0,,2026-07-21
"Fourniture de dispositifs médicaux non implantables de Dialyse, Cathétérisme central et périphérique (MIDLINE), Système cardiovasculaire, Kits de surveillance de pression, Consommables haute pression pour injecteur, Système nerveux et Ophtalmologie - Lots 101 à 177 - Lot 116: Aiguile de ponction trans-septale par radiofréquence",RESEAU DES ACHETEURS HOSPITALIERS,BOSTON SCIENTIFIC,12054000.0,,2026-07-21
"Fourniture de dispositifs médicaux non implantables de Dialyse, Cathétérisme central et périphérique (MIDLINE), Système cardiovasculaire, Kits de surveillance de pression, Consommables haute pression pour injecteur, Système nerveux et Ophtalmologie - Lot 1 à 100 - Lot 90 : Cathéter ballonnet angioplastie périphérique semi-compliant, guide 0.035""",RESEAU DES ACHETEURS HOSPITALIERS,ABBOTT MEDICAL FRANCE SAS,7679200.0,,2026-07-21
"Fourniture de dispositifs médicaux non implantables de Dialyse, Cathétérisme central et périphérique (MIDLINE), Système cardiovasculaire, Kits de surveillance de pression, Consommables haute pression pour injecteur, Système nerveux et Ophtalmologie - Lots 101 à 177 - Lot 109: Cathéter électrophysiologie conventionnelle, diagnostic, courbure orientable, 20 Pôles",RESEAU DES ACHETEURS HOSPITALIERS,ABBOTT MEDICAL FRANCE SAS,3657200.0,,2026-07-21
CMF.IMPLANTS CRANIO-FACIAU S/M,CENTRE HOSPITALIER UNIVERSITAIRE DE TOULOUSE (HOTEL DIEU SAINT JACQUES),STRYKER FRANCE SA,684165.0,,2026-07-09
ORTCONC Epaule : Prothèse Totale Epaule Anatomique convertible et traumatologie,CENTRE HOSPITALIER UNIVERSITAIRE REIMS,STRYKER FRANCE SA,1872642.0,,2026-07-08
"STM25 FOURNITURE DE DISPOSITIFS MEDICAUX STERILES ET DISPOSITIFS MEDICAUX IMPLANTABLES, DE RYTHMOLOGIE ET D¿ELECTROPHYSIOLOGIE",CTRE HOSPITALIER INTERCOM ALPES DU SUD (SITE HOSPITALIER DE GAP),BIOTRONIK FRANCE,330420.64,,2026-07-03
XRADI - STENT RETRIEVER TRES PETIT DIAMETRE,CENTRE HOSPITALIER DE VALENCIENNES,STRYKER FRANCE SA,439084.8,,2026-07-03
XORTO - PROTHESE TOTALE DE GENOU à CHARNIERE ROTATOIRE,CENTRE HOSPITALIER DE VALENCIENNES,ZIMMER BIOMET FRANCE,803136.0,,2026-07-03
XRADI-2 ENDOPROTHESE VASCULAIRE CRANIENNE,CENTRE HOSPITALIER DE VALENCIENNES,STRYKER FRANCE SA,156682.2,,2026-07-01
"Fourniture de dispositifs médicaux du domaine de la cardiologie interventionnelle, de l’abord vasculaire périphérique, de la radiologie interventionnelle, des endoprothèses, de la neuroradiologie et de la radiologie AO-2024-177",CENTRE HOSPITALIER UNIVERSITAIRE DE LILLE,STRYKER FRANCE SA,5875200.0,,2026-07-01
RYT 24 - HOLTER ECG IMPLANTABLE,CENTRE HOSPITALIER UNIVERSITAIRE DE TOULOUSE (HOTEL DIEU SAINT JACQUES),ABBOTT MEDICAL FRANCE SAS,801198.0,,2026-06-22
"FOURNITURES DE DISPOSITIFS MEDICAUX IMPLANTABLES ET DISPOSITIFS MEDICAUX SPECIALISES 2025 –
N°MNSP25DMISP",CENTRE HOSPITALIER UNIVERSITAIRE GRENOBLE ALPES (HOPITAL NORD),STRYKER FRANCE SA,1600000.0,suspect,2026-06-22
Fourniture de prothèses orthopédiques et d’accessoires d’ostéosynthèses pour le Centre Hospitalier de la Région de Saint-Omer,CENTRE HOSPITALIER DE DUNKERQUE,STRYKER FRANCE SA,35386.32,,2026-06-18
Fourniture de prothèses orthopédiques et d’accessoires d’ostéosynthèses pour le Centre Hospitalier de la Région de Saint-Omer,CENTRE HOSPITALIER DE DUNKERQUE,ZIMMER BIOMET FRANCE,148912.12,,2026-06-18
Fourniture de prothèses orthopédiques et d’accessoires d’ostéosynthèses pour le Centre Hospitalier de la Région de Saint-Omer,CENTRE HOSPITALIER DE DUNKERQUE,JOHNSON & JOHNSON MEDICAL SAS,35386.32,,2026-06-18
"HCL FOURNITURE DE STENTS CORONAIRES, BALLONS ACTIFS, CATHETERS DE DILATATION ET SERVICES ASSOCIES",CTRE HOSPITALIER VILLEFRANCHE S SAONE,ABBOTT MEDICAL FRANCE SAS,213270.0,,2026-06-18
XSTIM - Holter implantable,CENTRE HOSPITALIER DE VALENCIENNES,BIOTRONIK FRANCE,5154360.0,,2026-06-16
XRADI - STENT RETRIEVER PETIT DIAMETRE,CENTRE HOSPITALIER DE VALENCIENNES,MEDTRONIC FRANCE,961804.8,,2026-06-16
FOURNITURE D’IMPLANTS D’ORTHOPÉDIE - ORTHOCAT - CLOU CENTRO-MÉDULLAIRE,CENTRE HOSPITALIER UNIVERSITAIRE REIMS,JOHNSON & JOHNSON MEDICAL SAS,48416.1,,2026-06-11
XPORA - CATHETER D’ELECTROPORATION,CENTRE HOSPITALIER DE VALENCIENNES,BOSTON SCIENTIFIC,2189000.0,,2026-06-09
Fournitures de produits pharmaceutiques: Dispositifs Médicaux Stériles au Groupement GAULoYS (280 lots) - CATHETER DRAINAGE BILIAIRE - STERILE,CTRE HOSPITALIER INTERCOMMUNAL AGGLOMERATION DE NEVERS,BOSTON SCIENTIFIC,0.0,,2026-06-08
RYT 24 - HOLTER ECG IMPLANTABLE,CENTRE HOSPITALIER UNIVERSITAIRE DE TOULOUSE (HOTEL DIEU SAINT JACQUES),BIOTRONIK FRANCE,801198.0,,2026-06-08
DM ORTHO. Lot 4:Hanche : Prothèse Totale Hanche tous couples de frottements et double mobilité,RESEAU DES ACHETEURS HOSPITALIERS,STRYKER FRANCE SA,88479.0,,2026-06-05
